#####################################################
# This file is used to log scrapes from crawlers.py #
#####################################################

New log created at 02:29:45 on 12/09/2014

Searched http://www.audiokeychain.com for the following:

Lady Gaga, Born This Way (The Country Road Version), NULL, 124.00, Null, Null, Null, 1B / B
Justin Bieber, Born To Be Somebody, NULL, 118.00, Null, Null, Null, 3B / Db
Lana Del Rey, Born To Die, NULL, 86.00, Null, Null, Null, 9B / G
Lana Del Rey, Born To Die (Feri's Tales Remix), NULL, 86.00, Null, Null, Null, 9A / Em
Britney Spears, Born To Make You Happy, NULL, 84.00, Null, Null, Null, 9A / Em
Sara Bareilles, Bottle It Up, NULL, 133.00, Null, Null, Null, 8B / C
Miley Cyrus, Bottom Of The Ocean, NULL, 78.00, Null, Null, Null, 3B / Db
Keke Palmer, Bottoms Up, NULL, 161.00, Null, Null, Null, 12A / Dbm
Girl Talk, Bounce That, NULL, 127.50, Null, Null, Null, 11A / Gbm
Mike Posner, Bow Chicka Wow Wow Feat. Lil Wayne, NULL, 147.00, Null, Null, Null, 9B / G
Justin Bieber, Boyfriend, NULL, 96.27, Null, Null, Null, 12A / Dbm
Justin Bieber, Boyfriend (Acoustic Version), NULL, 90.00, Null, Null, Null, 8A / Am
Justin Bieber, Boyfriend (Joe Gauthreaux Dark Dub), NULL, 126.00, Null, Null, Null, 2B / Gb
Britney Spears, Boys, NULL, 107.00, Null, Null, Null, 10B / D
Lady Gaga, Boys Boys Boys, NULL, 123.00, Null, Null, Null, 11B / A
Natalia Kills, Boys Don't Cry, NULL, 131.00, Null, Null, Null, 12A / Dbm
The Cure, Boys Don't Cry, NULL, 84.00, Null, Null, Null, 11B / A
Sara Bareilles, Brave, NULL, 92.50, Null, Null, Null, 3A / Bbm
Kelis, Brave, NULL, 126.00, Null, Null, Null, 10A / Bm
Britney Spears, Brave New Girl, NULL, 133.00, Null, Null, Null, 6B / Bb
Rihanna, Break It Off, NULL, 134.00, Null, Null, Null, 3B / Db
Rihanna, Break It Off (Control Room), NULL, 67.00, Null, Null, Null, 3B / Db
Britney Spears, Break The Ice, NULL, 117.50, Null, Null, Null, 4A / Fm
Britney Spears, Break The Ice (Kaskade Remix), NULL, 127.00, Null, Null, Null, 3A / Bbm
Taio Cruz, Break Your Heart, NULL, 122.00, Null, Null, Null, 5B / Eb
Taio Cruz, Break Your Heart (Darren Styles Club Mix), NULL, 148.00, Null, Null, Null, 3A / Bbm
Ingrid Michaelson, Breakable, NULL, 144.00, Null, Null, Null, 7B / F
The Script, Breakeven, NULL, 94.00, Null, Null, Null, 6B / Bb
Deep Blue Something, Breakfast At Tiffany's, NULL, 110.35, Null, Null, Null, 10B / D
Rihanna, Breakin' Dishes, NULL, 125.00, Null, Null, Null, 1A / Abm
Miley Cyrus, Breakout, NULL, 160.00, Null, Null, Null, 12B / E
Sia, Breathe Me, NULL, 120.00, Null, Null, Null, 8A / Am
Sia, Breathe Me (Mylo Remix), NULL, 120.00, Null, Null, Null, 8A / Am
Shayne Ward, Breathless, NULL, 124.00, Null, Null, Null, 10B / D
Gorillaz, Broken, NULL, 159.00, Null, Null, Null, 8B / C
Mr. Mister, Broken Wings, NULL, 79.33, Null, Null, Null, 12A / Dbm
Beyonc&eacute;, Broken-Hearted Girl, NULL, 84.00, Null, Null, Null, 7B / F
Karmin, Brokenhearted, NULL, 120.00, Null, Null, Null, 11B / A
Gotye, Bronte, NULL, 116.00, Null, Null, Null, 8B / C
Lady Gaga, Brown Eyes, NULL, 125.00, Null, Null, Null, 6B / Bb
Marina And The Diamonds, Bubblegum Bitch, NULL, 158.00, Null, Null, Null, 5A / Cm
La Roux, Bulletproof, NULL, 138.50, Null, Null, Null, 2A / Ebm
La Roux, Bulletproof (Foamo Remix), NULL, 129.00, Null, Null, Null, 1A / Abm
Ellie Goulding, Burn, NULL, 88.00, Null, Null, Null, 3B / Db
Miley Cyrus, Butterfly Fly Away, NULL, 90.00, Null, Null, Null, 1B / B
The Pussycat Dolls, Buttons, NULL, 105.50, Null, Null, Null, 10B / D
*NSYNC, Bye Bye Bye, NULL, 86.50, Null, Null, Null, 1A / Abm
The Everly Brothers, Bye Bye Love, NULL, 83.00, Null, Null, Null, 11B / A
Ke$ha, C'mon, NULL, 126.00, Null, Null, Null, 11B / A
The Beach Boys, California Girls, NULL, 116.00, Null, Null, Null, 1B / B
Rihanna, California King Bed, NULL, 85.00, Null, Null, Null, 9B / G
Jamelia, Call Me, NULL, 72.00, Null, Null, Null, 4A / Fm
Carly Rae Jepsen, Call Me Maybe, NULL, 120.00, Null, Null, Null, 9B / G
Robyn, Call Your Girlfriend, NULL, 125.00, Null, Null, Null, 11B / A
Jason Derulo, Calling My Angel, NULL, 128.00, Null, Null, Null, 11A / Gbm
Kat Deluna, Calling You, NULL, 119.00, Null, Null, Null, 2B / Gb
Jennifer Love Hewitt, Can I Go Now, NULL, 150.00, Null, Null, Null, 12A / Dbm
Elton John, Can You Feel The Love Tonight, NULL, 63.00, Null, Null, Null, 6B / Bb
Andy Williams, Can't Get Used To Losing You, NULL, 180.00, Null, Null, Null, 8B / C
Kylie Minogue, Can't Get You Out Of My Head, NULL, 126.00, Null, Null, Null, 8A / Am
Ingrid Michaelson, Can't Help Falling In Love (Recorded Live At Daytrotter), NULL, 71.61, Null, Null, Null, 8B / C
Ciara, Can't Leave 'em Alone, NULL, 100.50, Null, Null, Null, 12A / Dbm
Britney Spears, Can't Make You Love Me, NULL, 108.00, Null, Null, Null, 5A / Cm
Paloma Faith, Can't Rely On You, NULL, 114.80, Null, Null, Null, 1A / Abm
Sonny J, Can't Stop Moving (Mirwais Remix), NULL, 105.00, Null, Null, Null, 10B / D
Andy Williams, Can't Take My Eyes Off You, NULL, 124.50, Null, Null, Null, 8B / C
Elton John, Candle In The Wind, NULL, 135.26, Null, Null, Null, 12B / E
Mandy Moore, Candy, NULL, 100.50, Null, Null, Null, 9B / G
Robbie Williams, Candy, NULL, 116.00, Null, Null, Null, 6B / Bb
Jamiroquai, Canned Heat, NULL, 128.00, Null, Null, Null, 9B / G
